predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
530,Tim Jones,WR,-6.9488,5.6,525
531,Trey Sermon,RB,-6.952,45.8,330
532,Mike Boone,RB,-6.9565,5.4,528
533,Amari Rodgers,WR,-6.972,,
534,Kevin Harris,RB,-6.9739,,
535,Jalen Nailor,WR,-6.9902,89.0,230
536,Patrick Ricard,RB,-6.9933,9.7,490
537,Isaiah Spiller,RB,-6.9958,,
538,Emanuel Wilson,RB,-6.9968,90.5,226
539,Ronnie Rivers,RB,-7.0077,15.8,440
540,Israel Abanikanda,RB,-7.0078,,
541,Gary Brightwell,RB,-7.0252,0.0,641
542,Collin Johnson,WR,-7.0291,1.1,597
543,Tyler Goodson,RB,-7.0497,38.9,351
544,Deuce Vaughn,RB,-7.0606,10.3,483
545,Keaontay Ingram,RB,-7.0615,0.0,637
546,Malik Davis,RB,-7.0646,,
547,Miles Boykin,WR,-7.0668,,
548,Derrick Gore,RB,-7.0732,,
549,Deshaun Watson,QB,-7.09,79.72,252
550,Justyn Ross,WR,-7.1048,0.0,650
551,Ke'Shawn Vaughn,RB,-7.1244,0.4,615
552,Rakim Jarrett,WR,-7.1314,16.9,438
553,Trayveon Williams,RB,-7.1374,0.0,629
554,Hunter Luepke,RB,-7.1436,20.9,421
555,Eric Gray,RB,-7.1449,12.3,466
556,Jalen Brooks,WR,-7.1512,29.7,375
557,Keith Kirkwood,WR,-7.1705,,
558,Jonathan Williams,RB,-7.1873,,
559,Dee Eskridge,WR,-7.1902,5.9,523
560,Chris Evans,RB,-7.196,,
561,Tylan Wallace,WR,-7.2332,30.8,369
562,Andy Isabella,WR,-7.2339,,
